Title,Description,Link,Date,Location
Festival drugačne glasbe Trnje,"
Fri Jul 12 2024 00:00:00 GMT+0200 (Central European Summer Time)
Sun Jul 14 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Postojna",https://dogodki.kulturnik.si/?where=Postojna,"petek, 12. julij 2024",
"Mednarodni folklorni festival, Beltinci","
Thu Jul 18 2024 00:00:00 GMT+0200 (Central European Summer Time)
Mon Jul 22 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Beltinci",https://dogodki.kulturnik.si/?where=Beltinci,"četrtek, 18. julij 2024",
Tolminator,"
Wed Jul 24 2024 00:00:00 GMT+0200 (Central European Summer Time)
Mon Jul 29 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Ig",https://dogodki.kulturnik.si/?where=Ig,"sreda, 24. julij 2024",
"Shots, mednarodni festival kratkega filma","
Thu Aug 01 2024 00:00:00 GMT+0200 (Central European Summer Time)
Sun Aug 04 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Slovenj Gradec",https://dogodki.kulturnik.si/?where=Slovenj%20Gradec,"četrtek, 1. avgust 2024",
Pomurski Poletni Festival,"
Sat Aug 03 2024 00:00:00 GMT+0200 (Central European Summer Time)
Sun Aug 11 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Velika Polana",https://dogodki.kulturnik.si/?where=Velika%20Polana,"sobota, 3. avgust 2024",
Punk Rock Holiday,"
Mon Aug 05 2024 00:00:00 GMT+0200 (Central European Summer Time)
Sat Aug 10 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Ljubljana",https://dogodki.kulturnik.si/?where=Ljubljana,"ponedeljek, 5. avgust 2024",
"Festivalski predtakt: Adriana Alcaide (ES), Ana Marija Krajnc (SI)","
Fri Aug 09 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Celje, Glasbena �ola Celje",https://dogodki.kulturnik.si/?where=Celje%2C%20Glasbena%20%EF%BF%BDola%20Celje,"petek, 9. avgust 2024",
Festival Radovljica,"
Sat Aug 10 2024 00:00:00 GMT+0200 (Central European Summer Time)
Wed Aug 28 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Radovljica",https://dogodki.kulturnik.si/?where=Radovljica,"sobota, 10. avgust 2024",
Predstava: OperArija (SI),"
Sun Aug 11 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Celje, Glasbena �ola Celje",https://dogodki.kulturnik.si/?where=Celje%2C%20Glasbena%20%EF%BF%BDola%20Celje,"nedelja, 11. avgust 2024",
Koncert: Ensemble Bastion (CH),"
Tue Aug 13 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Stara grofija Celje",https://dogodki.kulturnik.si/?where=Stara%20grofija-https://dogodki.kulturnik.si/?where=Celje,"torek, 13. avgust 2024",
Festivalski predtakt: Laterna Magica (BE),"
Wed Aug 14 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Grad Snežnik Stari trg pri Ložu",https://dogodki.kulturnik.si/?where=Grad%20Sne%C5%BEnik-https://dogodki.kulturnik.si/?where=Stari%20trg%20pri%20Lo%C5%BEu,"sreda, 14. avgust 2024",
Festivalski predtakt: Baroque Arabesque (AT),"
Sat Aug 17 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Narodni dom Celje Celje",https://dogodki.kulturnik.si/?where=Narodni%20dom%20Celje-https://dogodki.kulturnik.si/?where=Celje,"sobota, 17. avgust 2024",
Seviqc Camp,"
Mon Aug 19 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Celjski grad, Celje Celje",https://dogodki.kulturnik.si/?where=Celjski%20grad%2C%20Celje-https://dogodki.kulturnik.si/?where=Celje,"ponedeljek, 19. avgust 2024",
Seviqc Camp,"
Tue Aug 20 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Celjski grad, Celje Celje",https://dogodki.kulturnik.si/?where=Celjski%20grad%2C%20Celje-https://dogodki.kulturnik.si/?where=Celje,"torek, 20. avgust 2024",
Koncert: The Legacy of Bach (BE),"
Wed Aug 21 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Stara grofija Celje",https://dogodki.kulturnik.si/?where=Stara%20grofija-https://dogodki.kulturnik.si/?where=Celje,"sreda, 21. avgust 2024",
Festival Mladi levi,"
Thu Aug 22 2024 00:00:00 GMT+0200 (Central European Summer Time)
Sun Sep 01 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Ljubljana",https://dogodki.kulturnik.si/?where=Ljubljana,"četrtek, 22. avgust 2024",
Festival Avsenik,"
Fri Aug 23 2024 00:00:00 GMT+0200 (Central European Summer Time)
Mon Aug 26 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Begunje na Gorenjskem",https://dogodki.kulturnik.si/?where=Begunje%20na%20Gorenjskem,"petek, 23. avgust 2024",
Mednarodni literarni festival Vilenica,"
Mon Sep 02 2024 00:00:00 GMT+0200 (Central European Summer Time)
Sun Sep 08 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Ljubljana",https://dogodki.kulturnik.si/?where=Ljubljana,"ponedeljek, 2. september 2024",
